Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
0.007258518,USMsgTx,4687,2,4f12000000000000ffffffffffffffff0000,18
0.062735684,USMsgTx,240,2,f000000000000000feffffffffffffff0000,18
0.070185869,USMsgTx,3912,2,480f000000000000fdffffffffffffff0000,18
0.117653288,USMsgTx,2635,2,4b0a000000000000fcffffffffffffff0000,18
0.315529286,USMsgTx,252,2,fc00000000000000fbffffffffffffff0000,18
0.420270950,USMsgTx,3736,2,980e000000000000faffffffffffffff0000,18
0.547344031,USMsgTx,2818,2,020b000000000000f9ffffffffffffff0000,18
0.559589852,USMsgTx,1359,2,4f05000000000000f8ffffffffffffff0000,18
0.580666079,USMsgTx,2730,2,aa0a000000000000f7ffffffffffffff0000,18
0.588780739,USMsgTx,3951,2,6f0f000000000000f6ffffffffffffff0000,18
0.670739551,USMsgTx,2466,2,a209000000000000f5ffffffffffffff0000,18
0.687098652,USMsgTx,2012,2,dc07000000000000f4ffffffffffffff0000,18
0.726617442,USMsgTx,4370,2,1211000000000000f3ffffffffffffff0000,18
0.777644655,USMsgTx,1203,2,b304000000000000f2ffffffffffffff0000,18
0.821056419,USMsgTx,207,2,cf00000000000000f1ffffffffffffff0000,18
0.862004184,USMsgTx,4672,2,4012000000000000f0ffffffffffffff0000,18
0.940776196,USMsgTx,167,2,a700000000000000efffffffffffffff0000,18
0.941264232,USMsgTx,1022,2,fe03000000000000eeffffffffffffff0000,18
0.999018132,USMsgTx,306,2,3201000000000000edffffffffffffff0000,18
1.060199672,USMsgTx,2996,2,b40b000000000000ecffffffffffffff0000,18
1.061532115,USMsgTx,46,2,2e00000000000000ebffffffffffffff0000,18
1.098750771,USMsgTx,389,2,8501000000000000eaffffffffffffff0000,18
1.198641548,USMsgTx,1053,2,1d04000000000000e9ffffffffffffff0000,18
1.241762460,USMsgTx,4037,2,c50f000000000000e8ffffffffffffff0000,18
1.282169033,USMsgTx,2739,2,b30a000000000000e7ffffffffffffff0000,18
1.359006781,USMsgTx,1582,2,2e06000000000000e6ffffffffffffff0000,18
1.421569659,USMsgTx,2125,2,4d08000000000000e5ffffffffffffff0000,18
1.523700081,USMsgTx,2522,2,da09000000000000e4ffffffffffffff0000,18
1.684937731,USMsgTx,4966,2,6613000000000000e3ffffffffffffff0000,18
1.941537904,USMsgTx,3472,2,900d000000000000e2ffffffffffffff0000,18
1.958957805,USMsgTx,1929,2,8907000000000000e1ffffffffffffff0000,18
1.990087845,USMsgTx,618,2,6a02000000000000e0ffffffffffffff0000,18
2.021439867,USMsgTx,4029,2,bd0f000000000000dfffffffffffffff0000,18
2.032509847,USMsgTx,2694,2,860a000000000000deffffffffffffff0000,18
2.093788617,USMsgTx,462,2,ce01000000000000ddffffffffffffff0000,18
2.113590445,USMsgTx,779,2,0b03000000000000dcffffffffffffff0000,18
2.113814032,USMsgTx,731,2,db02000000000000dbffffffffffffff0000,18
2.115603499,USMsgTx,2804,2,f40a000000000000daffffffffffffff0000,18
2.129955972,USMsgTx,4126,2,1e10000000000000d9ffffffffffffff0000,18
2.313423059,USMsgTx,1845,2,3507000000000000d8ffffffffffffff0000,18
2.346605967,USMsgTx,4256,2,a010000000000000d7ffffffffffffff0000,18
2.369169423,USMsgTx,2681,2,790a000000000000d6ffffffffffffff0000,18
2.507229782,USMsgTx,1338,2,3a05000000000000d5ffffffffffffff0000,18
2.551603231,USMsgTx,4219,2,7b10000000000000d4ffffffffffffff0000,18
2.703532707,USMsgTx,4780,2,ac12000000000000d3ffffffffffffff0000,18
2.742682902,USMsgTx,4593,2,f111000000000000d2ffffffffffffff0000,18
2.758642605,USMsgTx,3725,2,8d0e000000000000d1ffffffffffffff0000,18
2.804175550,USMsgTx,1048,2,1804000000000000d0ffffffffffffff0000,18
2.811343405,USMsgTx,630,2,7602000000000000cfffffffffffffff0000,18
2.851344154,USMsgTx,1054,2,1e04000000000000ceffffffffffffff0000,18
2.893123333,USMsgTx,343,2,5701000000000000cdffffffffffffff0000,18
2.941899376,USMsgTx,4165,2,4510000000000000ccffffffffffffff0000,18
2.968255155,USMsgTx,246,2,f600000000000000cbffffffffffffff0000,18
2.989768847,USMsgTx,2118,2,4608000000000000caffffffffffffff0000,18
2.998628240,USMsgTx,697,2,b902000000000000c9ffffffffffffff0000,18
3.032743775,USMsgTx,2702,2,8e0a000000000000c8ffffffffffffff0000,18
3.034237360,USMsgTx,4174,2,4e10000000000000c7ffffffffffffff0000,18
3.046016170,USMsgTx,110,2,6e00000000000000c6ffffffffffffff0000,18
3.068279623,USMsgTx,2092,2,2c08000000000000c5ffffffffffffff0000,18
3.437224895,USMsgTx,1973,2,b507000000000000c4ffffffffffffff0000,18
3.502638458,USMsgTx,4394,2,2a11000000000000c3ffffffffffffff0000,18
3.618257388,USMsgTx,2853,2,250b000000000000c2ffffffffffffff0000,18
3.788754317,USMsgTx,1004,2,ec03000000000000c1ffffffffffffff0000,18
3.887123150,USMsgTx,364,2,6c01000000000000c0ffffffffffffff0000,18
3.903090677,USMsgTx,1459,2,b305000000000000bfffffffffffffff0000,18
3.906360667,USMsgTx,366,2,6e01000000000000beffffffffffffff0000,18
4.012565602,USMsgTx,4183,2,5710000000000000bdffffffffffffff0000,18
4.107435339,USMsgTx,3084,2,0c0c000000000000bcffffffffffffff0000,18
