Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
0.886543813,1,935,0,0,MacState,0,1
0.948239813,1,935,0,0,MacState,1,2
1.199934806,1,343,0,0,MacState,0,1
1.256076377,1,909,0,0,MacState,0,1
1.317772377,1,909,0,0,MacState,1,2
1.349725010,1,814,0,0,MacState,0,1
1.555549010,1,814,0,0,MacState,1,2
1.648211861,1,402,0,0,MacState,0,1
1.709907861,1,402,0,0,MacState,1,2
1.948239813,1,935,0,0,MacState,2,3
1.960783813,1,935,0,0,MacState,3,4
2.116138963,1,105,0,0,MacState,0,1
2.177834963,1,105,0,0,MacState,1,2
2.237428320,1,404,0,0,MacState,0,1
2.265395869,1,930,0,0,MacState,0,1
2.317772377,1,909,0,0,MacState,2,3
2.330316377,1,909,0,0,MacState,3,4
2.335602553,1,271,0,0,MacState,0,1
2.378547869,1,930,0,0,MacState,1,2
2.443252320,1,404,0,0,MacState,1,2
2.448754553,1,271,0,0,MacState,1,2
2.555549010,1,814,0,0,MacState,2,3
2.605725010,1,814,0,0,MacState,3,4
2.682686806,1,343,0,0,MacState,1,2
2.709907861,1,402,0,0,MacState,2,3
2.722451861,1,402,0,0,MacState,3,4
2.948239813,1,935,0,0,MacState,4,5
2.998981537,1,960,0,0,MacState,0,1
3.124434116,1,325,0,0,MacState,0,1
3.177834963,1,105,0,0,MacState,2,3
3.186130116,1,325,0,0,MacState,1,2
3.190378963,1,105,0,0,MacState,3,4
3.204805537,1,960,0,0,MacState,1,2
3.317772377,1,909,0,0,MacState,4,5
3.349647813,1,935,0,0,MacState,5,0
3.378547869,1,930,0,0,MacState,2,3
3.403635869,1,930,0,0,MacState,3,4
3.443252320,1,404,0,0,MacState,2,3
3.448754553,1,271,0,0,MacState,2,3
3.473842553,1,271,0,0,MacState,3,4
3.493428320,1,404,0,0,MacState,3,4
3.555549010,1,814,0,0,MacState,4,5
3.681293564,1,725,0,0,MacState,0,1
3.682686806,1,343,0,0,MacState,2,3
3.709907861,1,402,0,0,MacState,4,5
3.719180377,1,909,0,0,MacState,5,0
3.742989564,1,725,0,0,MacState,1,2
3.956957010,1,814,0,0,MacState,5,0
4.084094806,1,343,0,0,MacState,3,4
4.111315861,1,402,0,0,MacState,5,0
4.177834963,1,105,0,0,MacState,4,5
4.186130116,1,325,0,0,MacState,2,3
4.198674116,1,325,0,0,MacState,3,4
4.204805537,1,960,0,0,MacState,2,3
4.254981537,1,960,0,0,MacState,3,4
4.378547869,1,930,0,0,MacState,4,5
4.427124005,1,889,0,0,MacState,0,1
4.443252320,1,404,0,0,MacState,4,5
4.448754553,1,271,0,0,MacState,4,5
4.464626598,1,887,0,0,MacState,0,1
4.488820005,1,889,0,0,MacState,1,2
4.577778598,1,887,0,0,MacState,1,2
4.579242963,1,105,0,0,MacState,5,0
4.682686806,1,343,0,0,MacState,4,5
4.742989564,1,725,0,0,MacState,2,3
4.755533564,1,725,0,0,MacState,3,4
4.779955869,1,930,0,0,MacState,5,0
4.844660320,1,404,0,0,MacState,5,0
4.850162553,1,271,0,0,MacState,5,0
5.084094806,1,343,0,0,MacState,5,0
5.107384073,1,838,0,0,MacState,0,1
5.147782263,1,568,0,0,MacState,0,1
5.186130116,1,325,0,0,MacState,4,5
5.204805537,1,960,0,0,MacState,4,5
5.220536073,1,838,0,0,MacState,1,2
5.260934263,1,568,0,0,MacState,1,2
5.488820005,1,889,0,0,MacState,2,3
5.501364005,1,889,0,0,MacState,3,4
5.577778598,1,887,0,0,MacState,2,3
5.587538116,1,325,0,0,MacState,5,0
5.602866598,1,887,0,0,MacState,3,4
5.606213537,1,960,0,0,MacState,5,0
5.742989564,1,725,0,0,MacState,4,5
5.783708696,1,211,0,0,MacState,0,1
5.845404696,1,211,0,0,MacState,1,2
5.953865530,1,546,0,0,MacState,0,1
6.067017530,1,546,0,0,MacState,1,2
6.144397564,1,725,0,0,MacState,5,0
6.220536073,1,838,0,0,MacState,2,3
6.245624073,1,838,0,0,MacState,3,4
6.260934263,1,568,0,0,MacState,2,3
6.286022263,1,568,0,0,MacState,3,4
6.488820005,1,889,0,0,MacState,4,5
6.577778598,1,887,0,0,MacState,4,5
6.845404696,1,211,0,0,MacState,2,3
6.857948696,1,211,0,0,MacState,3,4
6.890228005,1,889,0,0,MacState,5,0
6.979186598,1,887,0,0,MacState,5,0
6.987978972,1,358,0,0,MacState,0,1
7.056024034,1,203,0,0,MacState,0,1
7.067017530,1,546,0,0,MacState,2,3
7.092105530,1,546,0,0,MacState,3,4
7.169176034,1,203,0,0,MacState,1,2
