Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
29.093044774,USMsgRx,147,2,0,95ffffffffffffff0000,10
29.170440613,USMsgRx,765,2,0,94ffffffffffffff0000,10
29.459397505,USMsgRx,591,2,0,93ffffffffffffff0000,10
29.605265135,USMsgRx,629,2,0,98ffffffffffffff0000,10
29.903021334,USMsgRx,397,2,0,92ffffffffffffff0000,10
30.439744365,USMsgRx,422,2,0,91ffffffffffffff0000,10
30.730504277,USMsgRx,783,2,0,8fffffffffffffff0000,10
30.802243140,USMsgRx,853,2,0,8effffffffffffff0000,10
31.159851505,USMsgRx,788,2,0,8dffffffffffffff0000,10
31.225778151,USMsgRx,181,2,0,8cffffffffffffff0000,10
31.403031853,USMsgRx,647,2,0,8bffffffffffffff0000,10
31.701310019,USMsgRx,584,2,0,8affffffffffffff0000,10
31.948212479,USMsgRx,387,2,0,89ffffffffffffff0000,10
33.102859148,USMsgRx,936,2,0,88ffffffffffffff0000,10
33.189501062,USMsgRx,112,2,0,87ffffffffffffff0000,10
33.518992325,USMsgRx,431,2,0,86ffffffffffffff0000,10
33.841189638,USMsgRx,562,2,0,85ffffffffffffff0000,10
33.964810137,USMsgRx,510,2,0,84ffffffffffffff0000,10
34.369039641,USMsgRx,288,2,0,83ffffffffffffff0000,10
34.703938817,USMsgRx,171,2,0,82ffffffffffffff0000,10
35.306674043,USMsgRx,385,2,0,81ffffffffffffff0000,10
35.705682014,USMsgRx,184,2,0,80ffffffffffffff0000,10
37.181526047,USMsgRx,543,2,0,7fffffffffffffff0000,10
37.603321878,USMsgRx,751,2,0,7effffffffffffff0000,10
37.697153258,USMsgRx,674,2,0,7dffffffffffffff0000,10
37.961508886,USMsgRx,95,2,0,7bffffffffffffff0000,10
39.244526046,USMsgRx,944,2,0,79ffffffffffffff0000,10
39.291731904,USMsgRx,202,2,0,7affffffffffffff0000,10
39.749863890,USMsgRx,785,2,0,78ffffffffffffff0000,10
39.792611431,USMsgRx,329,2,0,77ffffffffffffff0000,10
39.955733904,USMsgRx,182,2,0,75ffffffffffffff0000,10
40.261942046,USMsgRx,531,2,0,73ffffffffffffff0000,10
40.481749004,USMsgRx,507,2,0,71ffffffffffffff0000,10
