Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
1.633829852,1,1359,0,0,MacState,3,4
1.642362079,1,2730,0,0,MacState,2,3
1.654906079,1,2730,0,0,MacState,3,4
1.684937731,1,4966,0,0,MacState,0,1
1.701932739,1,3951,0,0,MacState,2,3
1.727020739,1,3951,0,0,MacState,3,4
1.729524081,1,2522,0,0,MacState,1,2
1.746633731,1,4966,0,0,MacState,1,2
1.748794652,1,2012,0,0,MacState,2,3
1.761338652,1,2012,0,0,MacState,3,4
1.783891551,1,2466,0,0,MacState,2,3
1.788313442,1,4370,0,0,MacState,2,3
1.800857442,1,4370,0,0,MacState,3,4
1.808979551,1,2466,0,0,MacState,3,4
1.839340655,1,1203,0,0,MacState,2,3
1.851884655,1,1203,0,0,MacState,3,4
1.882752419,1,207,0,0,MacState,2,3
1.883495672,1,2996,0,0,MacState,1,2
1.895296419,1,207,0,0,MacState,3,4
1.918032031,1,2818,0,0,MacState,2,3
1.923700184,1,4672,0,0,MacState,2,3
1.936244184,1,4672,0,0,MacState,3,4
1.941537904,1,3472,0,0,MacState,0,1
1.958957805,1,1929,0,0,MacState,0,1
1.990087845,1,618,0,0,MacState,0,1
2.002472196,1,167,0,0,MacState,2,3
2.002960232,1,1022,0,0,MacState,2,3
2.015016196,1,167,0,0,MacState,3,4
2.015504232,1,1022,0,0,MacState,3,4
2.018384031,1,2818,0,0,MacState,3,4
2.021439867,1,4029,0,0,MacState,0,1
2.032509847,1,2694,0,0,MacState,0,1
2.051783845,1,618,0,0,MacState,1,2
2.054689904,1,3472,0,0,MacState,1,2
2.060714132,1,306,0,0,MacState,2,3
2.072109805,1,1929,0,0,MacState,1,2
2.073258132,1,306,0,0,MacState,3,4
2.083135867,1,4029,0,0,MacState,1,2
2.093788617,1,462,0,0,MacState,0,1
2.113590445,1,779,0,0,MacState,0,1
2.113814032,1,731,0,0,MacState,0,1
2.115603499,1,2804,0,0,MacState,0,1
2.129955972,1,4126,0,0,MacState,0,1
2.145661847,1,2694,0,0,MacState,1,2
2.155484617,1,462,0,0,MacState,1,2
2.174684115,1,46,0,0,MacState,2,3
2.175286445,1,779,0,0,MacState,1,2
2.175510032,1,731,0,0,MacState,1,2
2.175887684,1,240,0,0,MacState,4,5
2.179349288,1,2635,0,0,MacState,4,5
2.199772115,1,46,0,0,MacState,3,4
2.228755499,1,2804,0,0,MacState,1,2
2.276009869,1,3912,0,0,MacState,4,5
2.311793548,1,1053,0,0,MacState,2,3
2.313423059,1,1845,0,0,MacState,0,1
