DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
0,0,0,0
1,1,377.9,-312.778,490.549,5
2,1,-782.905,-429.267,892.866,5
3,1,-382.746,351.332,519.546,5
4,1,841.002,86.5961,845.449,5
5,1,-215.315,697.986,730.441,5
6,1,-671.934,-569.754,880.974,5
7,1,-300.865,-59.3155,306.656,5
8,1,-774.968,-35.0692,775.761,5
9,1,484.11,29.7698,485.025,5
10,1,-465.815,790.294,917.36,5
11,1,384.586,767.951,858.869,5
12,1,-48.6685,-553.603,555.738,5
13,1,-774.803,617.712,990.903,5
14,1,459.332,-415.042,619.068,5
15,1,193.325,397.023,441.59,5
16,1,-255.362,-440.493,509.16,5
17,1,-423.921,-221.153,478.14,5
18,1,-677.635,24.3346,678.072,5
19,1,487.976,-447.604,662.171,5
20,1,398.735,-393.129,559.946,5
21,1,867.453,-318.39,924.038,5
22,1,-869.058,413.244,962.306,5
23,1,-283.365,485.315,561.984,5
24,1,236.982,717.775,755.885,5
25,1,168.952,-981.236,995.675,5
26,1,-229.62,-162.974,281.577,5
27,1,-19.6424,-571.615,571.952,5
28,1,-940.263,127.919,948.924,5
29,1,-425.383,-526.924,677.2,5
30,1,144.606,759.845,773.483,5
31,1,-850.414,-462.119,967.863,5
32,1,-366.526,572.573,679.84,5
33,1,-457.253,407.065,612.195,5
34,1,-361.723,-444.673,573.217,5
35,1,-543.416,543.516,768.577,5
36,1,32.6896,-808.732,809.392,5
37,1,397.53,-411.272,571.992,5
38,1,262.699,962.234,997.449,5
39,1,-188.256,533.768,565.994,5
40,1,192.994,-25.322,194.648,5
41,1,100.801,706.232,713.39,5
42,1,522.986,-136.459,540.495,5
43,1,-297.238,-563.047,636.688,5
44,1,818.237,560.288,991.683,5
45,1,-714.517,114.976,723.708,5
46,1,124.108,-552.489,566.257,5
47,1,-331.495,-230.139,403.55,5
48,1,-0.286134,499.539,499.539,5
49,1,162.183,-603.741,625.145,5
50,1,766.112,-117.412,775.057,5
51,1,224.645,511.533,558.687,5
52,1,-661.166,-105.652,669.554,5
53,1,236.192,-120.092,264.969,5
54,1,489.855,808.914,945.674,5
55,1,-761.778,552.783,941.209,5
56,1,358.833,798.637,875.546,5
57,1,-50.8209,741.138,742.878,5
58,1,-448.161,-401.996,602.037,5
59,1,-190.331,745.158,769.081,5
60,1,842.542,324.995,903.05,5
61,1,318.389,517.207,607.35,5
62,1,-458.468,632.036,780.808,5
63,1,-953.264,-72.6449,956.028,5
64,1,340.037,-823.654,891.084,5
65,1,154.309,-889.638,902.922,5
66,1,762.161,282.759,812.922,5
67,1,-463.16,16.8847,463.468,5
68,1,-282.355,350.96,450.441,5
69,1,-561.97,231.616,607.83,5
70,1,262.911,-577.442,634.477,5
71,1,-375.738,-778.253,864.209,5
72,1,-28.285,-139.681,142.516,5
73,1,-667.811,463.614,812.963,5
74,1,204.792,-364.295,417.912,5
75,1,-110.38,-909.105,915.782,5
76,1,664.538,-549.634,862.385,5
77,1,651.992,-205.815,683.706,5
78,1,-139.815,934.261,944.665,5
79,1,-545.204,-823.367,987.512,5
80,1,-643.612,-314.999,716.562,5
81,1,576.768,27.284,577.413,5
82,1,-484.125,-366.066,606.944,5
83,1,175.272,-78.1954,191.924,5
84,1,-720.381,319.34,787.989,5
85,1,-120.225,86.1464,147.902,5
86,1,32.37,370.642,372.053,5
87,1,-432.653,359.422,562.47,5
88,1,268.677,-702.669,752.283,5
89,1,141.764,703.023,717.174,5
90,1,739.155,-489.325,886.447,5
91,1,-185.286,-333.741,381.725,5
92,1,-132.048,-333.984,359.141,5
93,1,-664.777,-91.5263,671.048,5
94,1,45.1978,15.6616,47.8343,5
95,1,-168.282,223.107,279.456,5
96,1,-416.264,-645.916,768.429,5
97,1,359.313,127.55,381.28,5
98,1,-612.372,216.536,649.529,5
99,1,-332.536,314.127,457.445,5
