DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
0,0,0,0
1,1,1396.52,-230.867,1415.47,2
2,1,284.255,1101.29,1137.39,4
3,1,1453.55,-327.497,1489.98,0
4,1,1027.62,1003.04,1436,2
5,1,-1011.5,-853.404,1323.42,3
6,1,800.938,1072.39,1338.48,3
7,1,1388.87,-88.2299,1391.67,3
8,1,856.728,304.091,909.095,5
9,1,1060.43,-166.725,1073.45,4
10,1,715.768,-1239.53,1431.35,2
11,1,-886.803,549.812,1043.41,4
12,1,1009.5,456.412,1107.88,4
13,1,479.129,-1365.38,1447,2
14,1,283.68,-45.9341,287.375,5
15,1,553.077,-924.447,1077.26,4
16,1,696.163,416.023,810.998,5
17,1,1017.9,-35.3873,1018.51,5
18,1,606.457,201.445,639.039,5
19,1,-391.584,-749.454,845.588,5
20,1,-842.859,544.156,1003.25,5
21,1,-663.586,77.9805,668.152,5
22,1,112.807,-1162.32,1167.78,4
23,1,283.494,-901.535,945.058,5
24,1,1015.62,158.246,1027.87,4
25,1,-1270.5,589.664,1400.67,2
26,1,-695.041,654.636,954.793,5
27,1,525.35,31.7503,526.309,5
28,1,747.913,-714.693,1034.49,4
29,1,321.182,729.85,797.395,5
30,1,-1350.07,530.287,1450.48,2
31,1,967.05,821.114,1268.63,4
32,1,180.126,1230.28,1243.4,4
33,1,490.211,-914.898,1037.95,4
34,1,1341.21,158.578,1350.56,3
35,1,432.359,362.195,564.02,5
36,1,-832.676,-567.724,1007.8,5
37,1,-942.488,-533.412,1082.96,4
38,1,1031.55,-124.793,1039.08,4
39,1,-729.838,-157.021,746.538,5
40,1,-1032.42,-738.706,1269.48,3
41,1,-178.439,-1236.19,1249,4
42,1,-396.387,-1151.16,1217.49,4
43,1,1207.49,-410.25,1275.28,3
44,1,62.5832,-255.316,262.874,5
45,1,668.384,59.5209,671.029,5
46,1,599.02,-826.893,1021.07,4
47,1,-65.7525,272.867,280.677,5
48,1,210.88,1181.41,1200.08,4
49,1,-1226.31,-281.515,1258.21,4
50,1,-727.216,788.783,1072.86,4
51,1,642.561,-675.569,932.351,5
52,1,574.902,-1346.91,1464.48,1
53,1,-592.195,851.327,1037.04,4
54,1,-348.967,320.302,473.679,5
55,1,-363.791,-730.954,816.479,5
56,1,-239.369,-46.427,243.83,5
57,1,930.328,-1139.89,1471.35,1
58,1,529.675,1102.8,1223.4,4
59,1,93.4334,636.897,643.714,5
60,1,-362.35,-216.455,422.079,5
61,1,-366.115,-678.228,770.736,5
62,1,-1159.06,-658.904,1333.26,3
63,1,-1106.87,582.545,1250.81,4
64,1,-961.324,-1142,1492.76,0
65,1,-363.194,960.505,1026.88,4
66,1,-776.708,481.411,913.801,5
67,1,551.812,-234.097,599.415,5
68,1,337.764,510.206,611.878,5
69,1,-348.139,-1451.12,1492.3,0
70,1,1259.9,119.022,1265.51,4
71,1,1213.74,-866.385,1491.24,0
72,1,-1090.83,388.987,1158.11,4
73,1,929.077,-45.0395,930.168,5
74,1,519.923,-232.119,569.385,5
75,1,-5.47008,546.301,546.329,5
76,1,-1031.76,-398.644,1106.09,4
77,1,-94.9784,637.788,644.821,5
78,1,-457.935,-595.575,751.275,5
79,1,-509.965,-766.583,920.714,5
80,1,-139.214,-716.893,730.285,5
81,1,-200.032,355.056,407.526,5
82,1,-1166.49,-545.26,1287.64,3
83,1,-1156.15,-308.58,1196.62,4
84,1,-372.928,527.434,645.959,5
85,1,-451.422,-1130.04,1216.87,4
86,1,-351.154,246.134,428.825,5
87,1,-554.814,-1348.08,1457.78,1
88,1,-1455.79,-328.835,1492.46,0
89,1,-33.7309,-1200.76,1201.23,4
90,1,1043.61,-664.222,1237.06,4
91,1,-1128.65,963.44,1483.94,1
92,1,1209.33,26.2056,1209.61,4
93,1,1115.52,-762.772,1351.37,3
94,1,788.703,681.919,1042.62,4
95,1,-697.265,-752.008,1025.52,4
96,1,-1416.86,-426.397,1479.63,1
97,1,607.153,-1083.77,1242.25,4
98,1,70.2954,-236.372,246.603,5
99,1,-800.674,742.644,1092.06,4
100,1,-939.748,-316.33,991.56,5
101,1,-869.367,728.128,1134.01,4
102,1,-324.13,-276.552,426.077,5
103,1,-761.937,265.833,806.979,5
104,1,-170.571,310.274,354.068,5
105,1,750.958,-372.795,838.399,5
106,1,5.1313,19.881,20.5325,5
107,1,-505.693,-1255.64,1353.64,3
108,1,1102.19,169.552,1115.16,4
109,1,524.517,-383.084,649.516,5
110,1,599.46,331.388,684.96,5
111,1,-52.0488,135.996,145.616,5
112,1,577.205,-385.809,694.272,5
113,1,-466.124,833.949,955.375,5
114,1,133.415,553.267,569.125,5
115,1,658.664,-949.699,1155.75,4
116,1,-733.207,-1032.32,1266.21,4
117,1,-287.649,-664.879,724.435,5
118,1,-125.083,871.249,880.182,5
119,1,-285.719,-1333.69,1363.95,3
120,1,-208.036,-211.946,296.985,5
121,1,283.275,680.135,736.769,5
122,1,-671.412,-865.316,1095.25,4
123,1,249.394,1397.41,1419.49,2
124,1,-1057.31,650.381,1241.33,4
125,1,422.462,-188.635,462.663,5
126,1,725.073,-91.022,730.764,5
127,1,462.512,1043.18,1141.11,4
128,1,-198.003,-761.957,787.264,5
129,1,-267.056,565.865,625.717,5
130,1,1132.32,286.047,1167.89,4
131,1,-214.87,-130.343,251.313,5
132,1,-943.52,-707.576,1179.36,4
133,1,895.607,-1123.81,1437.03,2
134,1,1185.52,466.662,1274.06,3
135,1,-142.704,1084.54,1093.89,4
136,1,12.9868,-1220.32,1220.39,4
137,1,112.275,-1061.73,1067.65,4
138,1,-850.983,343.628,917.743,5
139,1,-306.82,-261.585,403.194,5
140,1,-110.68,-1206.12,1211.19,4
141,1,-1115.9,791.903,1368.34,3
142,1,1006.36,-486.91,1117.97,4
143,1,1229.22,105.301,1233.73,4
144,1,-1042.9,490.85,1152.64,4
145,1,107.805,1436.24,1440.28,2
146,1,1254.38,-143.142,1262.52,4
147,1,-474.753,-483.609,677.693,5
148,1,-1307.56,-535.627,1413.01,2
149,1,1173.13,-888.5,1471.62,1
150,1,898.396,4.07282,898.405,5
151,1,-624.731,-116.88,635.57,5
152,1,-937.395,682.915,1159.78,4
153,1,1298.78,-254.869,1323.55,3
154,1,14.5138,-314.99,315.325,5
155,1,-937.183,-926.239,1317.66,3
156,1,-812.294,1061.79,1336.87,3
157,1,-0.823887,721.011,721.012,5
158,1,-260.995,-1344.75,1369.85,3
159,1,500.772,-1336.28,1427.03,2
160,1,-969.77,143.854,980.382,5
161,1,-440.46,-261.514,512.245,5
162,1,952.118,-201.084,973.12,5
163,1,-855.001,315.059,911.202,5
164,1,120.476,-1338.52,1343.93,3
165,1,-660.003,1187.14,1358.27,3
166,1,-1142.06,335.728,1190.39,4
167,1,360.815,379.689,523.785,5
168,1,173.005,317.383,361.473,5
169,1,674.465,1213.34,1388.2,3
170,1,689.485,-1327.46,1495.84,0
171,1,-785.675,-23.4138,786.024,5
172,1,824.52,1246.12,1494.21,0
173,1,240.408,563.033,612.211,5
174,1,-166.602,-554.515,579.001,5
175,1,15.4197,-41.1803,43.9725,5
176,1,-1000.71,163.121,1013.92,5
177,1,-116.786,655.026,665.355,5
178,1,-454.401,140.701,475.686,5
179,1,1089.21,-845.826,1379.06,3
180,1,-1307.7,-392.45,1365.31,3
181,1,863.435,15.0273,863.566,5
182,1,456.047,653.03,796.51,5
183,1,-1065.93,-912.746,1403.32,2
184,1,99.0147,186.163,210.857,5
185,1,-1363.6,122.625,1369.11,3
186,1,-970.976,-497.369,1090.95,4
187,1,-649.957,989.588,1183.95,4
188,1,1024.79,-316.201,1072.46,4
189,1,659.238,-967.287,1170.57,4
190,1,-455.962,362.445,582.467,5
191,1,-1204.27,483.508,1297.71,3
192,1,-69.2578,-1159.26,1161.33,4
193,1,-1050.75,836.029,1342.76,3
194,1,-304.343,-247.017,391.972,5
195,1,70.953,-324.871,332.529,5
196,1,392.036,71.9048,398.575,5
197,1,992.696,-646.959,1184.91,4
198,1,754.041,-702.577,1030.63,4
199,1,-375.373,1364.08,1414.79,2
200,1,898.75,-533.058,1044.94,4
