Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
0.090201296,1,2179,0,0,MacState,0,1
0.151897296,1,2179,0,0,MacState,1,2
0.224446213,1,1780,0,0,MacState,0,1
0.246659166,1,2393,0,0,MacState,0,1
0.286142213,1,1780,0,0,MacState,1,2
0.308355166,1,2393,0,0,MacState,1,2
0.318448214,1,2267,0,0,MacState,0,1
0.380144214,1,2267,0,0,MacState,1,2
0.462113343,1,1225,0,0,MacState,0,1
0.523809343,1,1225,0,0,MacState,1,2
0.531086211,1,2946,0,0,MacState,0,1
0.592782211,1,2946,0,0,MacState,1,2
0.648335282,1,964,0,0,MacState,0,1
0.710031282,1,964,0,0,MacState,1,2
0.727310695,1,2874,0,0,MacState,0,1
0.789006695,1,2874,0,0,MacState,1,2
0.793281934,1,1446,0,0,MacState,0,1
0.809993634,1,2848,0,0,MacState,0,1
0.836332508,1,994,0,0,MacState,0,1
0.854977934,1,1446,0,0,MacState,1,2
0.871689634,1,2848,0,0,MacState,1,2
0.898028508,1,994,0,0,MacState,1,2
0.963021558,1,1740,0,0,MacState,0,1
1.010154609,1,2505,0,0,MacState,0,1
1.024717558,1,1740,0,0,MacState,1,2
1.071850609,1,2505,0,0,MacState,1,2
1.142688500,1,111,0,0,MacState,0,1
1.151897296,1,2179,0,0,MacState,2,3
1.164441296,1,2179,0,0,MacState,3,4
1.204384500,1,111,0,0,MacState,1,2
1.236021066,1,2454,0,0,MacState,0,1
1.286142213,1,1780,0,0,MacState,2,3
1.291835254,1,2644,0,0,MacState,0,1
1.297717066,1,2454,0,0,MacState,1,2
1.308355166,1,2393,0,0,MacState,2,3
1.320899166,1,2393,0,0,MacState,3,4
1.353531254,1,2644,0,0,MacState,1,2
1.353531979,1,1780,0,0,MacState,3,4
1.380144214,1,2267,0,0,MacState,2,3
1.392688214,1,2267,0,0,MacState,3,4
1.426985556,1,1369,0,0,MacState,0,1
1.438122312,1,2169,0,0,MacState,0,1
1.466844860,1,1506,0,0,MacState,0,1
1.488681556,1,1369,0,0,MacState,1,2
1.499818312,1,2169,0,0,MacState,1,2
1.523809343,1,1225,0,0,MacState,2,3
1.528540860,1,1506,0,0,MacState,1,2
1.536353343,1,1225,0,0,MacState,3,4
1.584593492,1,1193,0,0,MacState,0,1
1.592782211,1,2946,0,0,MacState,2,3
1.605326211,1,2946,0,0,MacState,3,4
1.644716328,1,2171,0,0,MacState,0,1
1.646289492,1,1193,0,0,MacState,1,2
1.648335704,1,1109,0,0,MacState,0,1
1.672003825,1,1251,0,0,MacState,0,1
1.706412328,1,2171,0,0,MacState,1,2
1.710031282,1,964,0,0,MacState,2,3
1.710031704,1,1109,0,0,MacState,1,2
1.722575282,1,964,0,0,MacState,3,4
1.733699825,1,1251,0,0,MacState,1,2
1.789006695,1,2874,0,0,MacState,2,3
1.801550695,1,2874,0,0,MacState,3,4
1.854977934,1,1446,0,0,MacState,2,3
1.857605293,1,1857,0,0,MacState,0,1
1.871689634,1,2848,0,0,MacState,2,3
1.884233634,1,2848,0,0,MacState,3,4
1.898028508,1,994,0,0,MacState,2,3
1.910572508,1,994,0,0,MacState,3,4
1.919301293,1,1857,0,0,MacState,1,2
1.919304656,1,1446,0,0,MacState,3,4
1.954421030,1,2718,0,0,MacState,0,1
2.016117030,1,2718,0,0,MacState,1,2
2.024717558,1,1740,0,0,MacState,2,3
2.037261558,1,1740,0,0,MacState,3,4
2.037742180,1,2396,0,0,MacState,0,1
2.071850609,1,2505,0,0,MacState,2,3
2.084394609,1,2505,0,0,MacState,3,4
2.099438180,1,2396,0,0,MacState,1,2
2.110679759,1,1102,0,0,MacState,0,1
2.117670825,1,1849,0,0,MacState,0,1
2.148695533,1,2944,0,0,MacState,0,1
2.151897296,1,2179,0,0,MacState,4,5
2.164822525,1,1972,0,0,MacState,0,1
2.172375759,1,1102,0,0,MacState,1,2
2.179366825,1,1849,0,0,MacState,1,2
2.204384500,1,111,0,0,MacState,2,3
2.210391533,1,2944,0,0,MacState,1,2
