Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
0.090201296,1,2179,0,0,MacState,0,1
0.203353296,1,2179,0,0,MacState,1,2
0.224446213,1,1780,0,0,MacState,0,1
0.246659166,1,2393,0,0,MacState,0,1
0.286142213,1,1780,0,0,MacState,1,2
0.318448214,1,2267,0,0,MacState,0,1
0.380144214,1,2267,0,0,MacState,1,2
0.452483166,1,2393,0,0,MacState,1,2
0.462113343,1,1225,0,0,MacState,0,1
0.531086211,1,2946,0,0,MacState,0,1
0.648335282,1,964,0,0,MacState,0,1
0.667937343,1,1225,0,0,MacState,1,2
0.727310695,1,2874,0,0,MacState,0,1
0.736910211,1,2946,0,0,MacState,1,2
0.789006695,1,2874,0,0,MacState,1,2
0.793281934,1,1446,0,0,MacState,0,1
0.809993634,1,2848,0,0,MacState,0,1
0.836332508,1,994,0,0,MacState,0,1
0.854977934,1,1446,0,0,MacState,1,2
0.871689634,1,2848,0,0,MacState,1,2
0.963021558,1,1740,0,0,MacState,0,1
1.010154609,1,2505,0,0,MacState,0,1
1.019023282,1,964,0,0,MacState,1,2
1.042156508,1,994,0,0,MacState,1,2
1.071850609,1,2505,0,0,MacState,1,2
1.076173558,1,1740,0,0,MacState,1,2
1.142688500,1,111,0,0,MacState,0,1
1.203353296,1,2179,0,0,MacState,2,3
1.228441296,1,2179,0,0,MacState,3,4
1.236021066,1,2454,0,0,MacState,0,1
1.255840500,1,111,0,0,MacState,1,2
1.286142213,1,1780,0,0,MacState,2,3
1.291835254,1,2644,0,0,MacState,0,1
1.297717066,1,2454,0,0,MacState,1,2
1.353531254,1,2644,0,0,MacState,1,2
1.353533431,1,1780,0,0,MacState,3,4
1.380144214,1,2267,0,0,MacState,2,3
1.392688214,1,2267,0,0,MacState,3,4
1.426985556,1,1369,0,0,MacState,0,1
1.438122312,1,2169,0,0,MacState,0,1
1.452483166,1,2393,0,0,MacState,2,3
1.466844860,1,1506,0,0,MacState,0,1
1.502659166,1,2393,0,0,MacState,3,4
1.528540860,1,1506,0,0,MacState,1,2
1.540137556,1,1369,0,0,MacState,1,2
1.584593492,1,1193,0,0,MacState,0,1
1.643946312,1,2169,0,0,MacState,1,2
1.644716328,1,2171,0,0,MacState,0,1
1.648335704,1,1109,0,0,MacState,0,1
1.667937343,1,1225,0,0,MacState,2,3
1.672003825,1,1251,0,0,MacState,0,1
1.736910211,1,2946,0,0,MacState,2,3
1.787086211,1,2946,0,0,MacState,3,4
1.789006695,1,2874,0,0,MacState,2,3
1.790417492,1,1193,0,0,MacState,1,2
1.801550695,1,2874,0,0,MacState,3,4
1.854977934,1,1446,0,0,MacState,2,3
1.857605293,1,1857,0,0,MacState,0,1
1.867521934,1,1446,0,0,MacState,3,4
1.871689634,1,2848,0,0,MacState,2,3
1.877827825,1,1251,0,0,MacState,1,2
1.877838490,1,1225,0,0,MacState,3,4
1.884233634,1,2848,0,0,MacState,3,4
1.954421030,1,2718,0,0,MacState,0,1
1.970757293,1,1857,0,0,MacState,1,2
2.015404328,1,2171,0,0,MacState,1,2
2.016117030,1,2718,0,0,MacState,1,2
2.019023282,1,964,0,0,MacState,2,3
2.019023704,1,1109,0,0,MacState,1,2
2.037742180,1,2396,0,0,MacState,0,1
2.042156508,1,994,0,0,MacState,2,3
2.071850609,1,2505,0,0,MacState,2,3
2.076173558,1,1740,0,0,MacState,2,3
2.084394609,1,2505,0,0,MacState,3,4
2.092332508,1,994,0,0,MacState,3,4
2.099438180,1,2396,0,0,MacState,1,2
2.101261558,1,1740,0,0,MacState,3,4
2.110679759,1,1102,0,0,MacState,0,1
2.117670825,1,1849,0,0,MacState,0,1
2.119375282,1,964,0,0,MacState,3,4
2.148695533,1,2944,0,0,MacState,0,1
2.164822525,1,1972,0,0,MacState,0,1
2.179366825,1,1849,0,0,MacState,1,2
2.203353296,1,2179,0,0,MacState,4,5
2.210391533,1,2944,0,0,MacState,1,2
2.223831759,1,1102,0,0,MacState,1,2
2.242992298,1,1496,0,0,MacState,0,1
2.255840500,1,111,0,0,MacState,2,3
2.280928500,1,111,0,0,MacState,3,4
2.286142213,1,1780,0,0,MacState,4,5
2.297717066,1,2454,0,0,MacState,2,3
2.310261066,1,2454,0,0,MacState,3,4
2.353531254,1,2644,0,0,MacState,2,3
2.366075254,1,2644,0,0,MacState,3,4
2.380144214,1,2267,0,0,MacState,4,5
2.448816298,1,1496,0,0,MacState,1,2
2.452483166,1,2393,0,0,MacState,4,5
2.528540860,1,1506,0,0,MacState,2,3
2.535510525,1,1972,0,0,MacState,1,2
2.540137556,1,1369,0,0,MacState,2,3
2.541084860,1,1506,0,0,MacState,3,4
2.565225556,1,1369,0,0,MacState,3,4
2.604761296,1,2179,0,0,MacState,5,0
2.643946312,1,2169,0,0,MacState,2,3
2.667937343,1,1225,0,0,MacState,4,5
2.677492088,1,2544,0,0,MacState,0,1
2.687550213,1,1780,0,0,MacState,5,0
2.694122312,1,2169,0,0,MacState,3,4
2.736910211,1,2946,0,0,MacState,4,5
2.781552214,1,2267,0,0,MacState,5,0
2.789006695,1,2874,0,0,MacState,4,5
2.790417492,1,1193,0,0,MacState,2,3
2.790644088,1,2544,0,0,MacState,1,2
2.840593492,1,1193,0,0,MacState,3,4
2.853891166,1,2393,0,0,MacState,5,0
2.854977934,1,1446,0,0,MacState,4,5
2.871689634,1,2848,0,0,MacState,4,5
2.877827825,1,1251,0,0,MacState,2,3
2.928003825,1,1251,0,0,MacState,3,4
2.970757293,1,1857,0,0,MacState,2,3
2.995845293,1,1857,0,0,MacState,3,4
3.015404328,1,2171,0,0,MacState,2,3
3.016117030,1,2718,0,0,MacState,2,3
3.019023282,1,964,0,0,MacState,4,5
3.019023704,1,1109,0,0,MacState,2,3
3.028661030,1,2718,0,0,MacState,3,4
3.036098142,1,1132,0,0,MacState,0,1
3.042156508,1,994,0,0,MacState,4,5
