Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
0.090201296,USMsgTx,2179,2,8308000000000000ffffffffffffffff0000,18
0.224446213,USMsgTx,1780,2,f406000000000000feffffffffffffff0000,18
0.246659166,USMsgTx,2393,2,5909000000000000fdffffffffffffff0000,18
0.318448214,USMsgTx,2267,2,db08000000000000fcffffffffffffff0000,18
0.462113343,USMsgTx,1225,2,c904000000000000fbffffffffffffff0000,18
0.531086211,USMsgTx,2946,2,820b000000000000faffffffffffffff0000,18
0.648335282,USMsgTx,964,2,c403000000000000f9ffffffffffffff0000,18
0.727310695,USMsgTx,2874,2,3a0b000000000000f8ffffffffffffff0000,18
0.793281934,USMsgTx,1446,2,a605000000000000f7ffffffffffffff0000,18
0.809993634,USMsgTx,2848,2,200b000000000000f6ffffffffffffff0000,18
0.836332508,USMsgTx,994,2,e203000000000000f5ffffffffffffff0000,18
0.963021558,USMsgTx,1740,2,cc06000000000000f4ffffffffffffff0000,18
1.010154609,USMsgTx,2505,2,c909000000000000f3ffffffffffffff0000,18
1.142688500,USMsgTx,111,2,6f00000000000000f2ffffffffffffff0000,18
1.236021066,USMsgTx,2454,2,9609000000000000f1ffffffffffffff0000,18
1.291835254,USMsgTx,2644,2,540a000000000000f0ffffffffffffff0000,18
1.426985556,USMsgTx,1369,2,5905000000000000efffffffffffffff0000,18
1.438122312,USMsgTx,2169,2,7908000000000000eeffffffffffffff0000,18
1.466844860,USMsgTx,1506,2,e205000000000000edffffffffffffff0000,18
1.584593492,USMsgTx,1193,2,a904000000000000ecffffffffffffff0000,18
1.644716328,USMsgTx,2171,2,7b08000000000000ebffffffffffffff0000,18
1.648335704,USMsgTx,1109,2,5504000000000000eaffffffffffffff0000,18
1.672003825,USMsgTx,1251,2,e304000000000000e9ffffffffffffff0000,18
1.857605293,USMsgTx,1857,2,4107000000000000e8ffffffffffffff0000,18
1.954421030,USMsgTx,2718,2,9e0a000000000000e7ffffffffffffff0000,18
2.037742180,USMsgTx,2396,2,5c09000000000000e6ffffffffffffff0000,18
2.110679759,USMsgTx,1102,2,4e04000000000000e5ffffffffffffff0000,18
2.117670825,USMsgTx,1849,2,3907000000000000e4ffffffffffffff0000,18
2.148695533,USMsgTx,2944,2,800b000000000000e3ffffffffffffff0000,18
2.164822525,USMsgTx,1972,2,b407000000000000e2ffffffffffffff0000,18
2.167016272,USMsgTx,964,2,c403000000010000e1ffffffffffffff0000,18
2.242992298,USMsgTx,1496,2,d805000000000000e0ffffffffffffff0000,18
2.677492088,USMsgTx,2544,2,f009000000000000dfffffffffffffff0000,18
3.036098142,USMsgTx,1132,2,6c04000000000000deffffffffffffff0000,18
3.092266256,USMsgTx,541,2,1d02000000000000ddffffffffffffff0000,18
3.126306633,USMsgTx,1837,2,2d07000000000000dcffffffffffffff0000,18
3.201350445,USMsgTx,914,2,9203000000000000dbffffffffffffff0000,18
3.218258700,USMsgTx,2010,2,da07000000000000daffffffffffffff0000,18
3.301589769,USMsgTx,2404,2,6409000000000000d9ffffffffffffff0000,18
3.335049001,USMsgTx,483,2,e301000000000000d8ffffffffffffff0000,18
3.421095039,USMsgTx,2659,2,630a000000000000d7ffffffffffffff0000,18
3.488079161,USMsgTx,2230,2,b608000000000000d6ffffffffffffff0000,18
3.552379887,USMsgTx,1277,2,fd04000000000000d5ffffffffffffff0000,18
3.621499299,USMsgTx,738,2,e202000000000000d4ffffffffffffff0000,18
3.770591780,USMsgTx,2164,2,7408000000000000d3ffffffffffffff0000,18
3.841375699,USMsgTx,963,2,c303000000000000d2ffffffffffffff0000,18
3.855575342,USMsgTx,397,2,8d01000000000000d1ffffffffffffff0000,18
3.907756813,USMsgTx,2954,2,8a0b000000000000d0ffffffffffffff0000,18
3.957384737,USMsgTx,1345,2,4105000000000000cfffffffffffffff0000,18
3.994952428,USMsgTx,1352,2,4805000000000000ceffffffffffffff0000,18
4.094773077,USMsgTx,584,2,4802000000000000cdffffffffffffff0000,18
4.124347785,USMsgTx,1336,2,3805000000000000ccffffffffffffff0000,18
4.172368829,USMsgTx,1967,2,af07000000000000cbffffffffffffff0000,18
4.390410290,USMsgTx,2343,2,2709000000000000caffffffffffffff0000,18
4.594819214,USMsgTx,53,2,3500000000000000c9ffffffffffffff0000,18
4.600768968,USMsgTx,872,2,6803000000000000c8ffffffffffffff0000,18
4.789149178,USMsgTx,1520,2,f005000000000000c7ffffffffffffff0000,18
4.804447758,USMsgTx,2387,2,5309000000000000c6ffffffffffffff0000,18
4.942681833,USMsgTx,2313,2,0909000000000000c5ffffffffffffff0000,18
5.140725818,USMsgTx,1098,2,4a04000000000000c4ffffffffffffff0000,18
5.217411854,USMsgTx,1714,2,b206000000000000c3ffffffffffffff0000,18
5.236953983,USMsgTx,1699,2,a306000000000000c2ffffffffffffff0000,18
5.301372544,USMsgTx,1281,2,0105000000000000c1ffffffffffffff0000,18
5.334620622,USMsgTx,1614,2,4e06000000000000c0ffffffffffffff0000,18
5.349204366,USMsgTx,2319,2,0f09000000000000bfffffffffffffff0000,18
5.396977235,USMsgTx,969,2,c903000000000000beffffffffffffff0000,18
5.430230202,USMsgTx,1280,2,0005000000000000bdffffffffffffff0000,18
5.676487316,USMsgTx,2947,2,830b000000000000bcffffffffffffff0000,18
5.680887955,USMsgTx,1070,2,2e04000000000000bbffffffffffffff0000,18
5.725143288,USMsgTx,1843,2,3307000000000000baffffffffffffff0000,18
5.764614860,USMsgTx,2183,2,8708000000000000b9ffffffffffffff0000,18
5.766244162,USMsgTx,63,2,3f00000000000000b8ffffffffffffff0000,18
5.969420317,USMsgTx,395,2,8b01000000000000b7ffffffffffffff0000,18
5.997097852,USMsgTx,428,2,ac01000000000000b6ffffffffffffff0000,18
6.001537327,USMsgTx,2930,2,720b000000000000b5ffffffffffffff0000,18
6.077098861,USMsgTx,2892,2,4c0b000000000000b4ffffffffffffff0000,18
6.148142968,USMsgTx,860,2,5c03000000000000b3ffffffffffffff0000,18
6.166504785,USMsgTx,2191,2,8f08000000000000b2ffffffffffffff0000,18
