<nGateways>,<nEndDevices>,<totalTime>,<drCalcMethod>,<drCalcMethodMisc>,<seed>,<usDataPeriod>,<nodeId>,<tranmissionsDeliveredForNode>,<tranmissionsSentForNode>,<PDRForNode>
1,1000,301,0,0.01,31088,300,135,1,1,1.0
1,1000,301,0,0.01,31088,300,136,1,1,1.0
1,1000,301,0,0.01,31088,300,137,1,1,1.0
1,1000,301,0,0.01,31088,300,138,0,1,0.0
1,1000,301,0,0.01,31088,300,139,1,1,1.0
1,1000,301,0,0.01,31088,300,140,1,1,1.0
1,1000,301,0,0.01,31088,300,141,1,1,1.0
1,1000,301,0,0.01,31088,300,142,1,1,1.0
1,1000,301,0,0.01,31088,300,143,1,1,1.0
1,1000,301,0,0.01,31088,300,144,1,1,1.0
1,1000,301,0,0.01,31088,300,145,1,1,1.0
1,1000,301,0,0.01,31088,300,146,1,1,1.0
1,1000,301,0,0.01,31088,300,147,1,1,1.0
1,1000,301,0,0.01,31088,300,148,1,1,1.0
1,1000,301,0,0.01,31088,300,149,1,1,1.0
1,1000,301,0,0.01,31088,300,150,1,1,1.0
1,1000,301,0,0.01,31088,300,151,0,1,0.0
1,1000,301,0,0.01,31088,300,152,1,1,1.0
1,1000,301,0,0.01,31088,300,153,0,1,0.0
1,1000,301,0,0.01,31088,300,154,1,1,1.0
1,1000,301,0,0.01,31088,300,155,1,1,1.0
1,1000,301,0,0.01,31088,300,156,1,1,1.0
1,1000,301,0,0.01,31088,300,157,1,1,1.0
1,1000,301,0,0.01,31088,300,158,1,1,1.0
1,1000,301,0,0.01,31088,300,159,1,1,1.0
1,1000,301,0,0.01,31088,300,160,1,1,1.0
1,1000,301,0,0.01,31088,300,161,1,1,1.0
1,1000,301,0,0.01,31088,300,162,1,1,1.0
1,1000,301,0,0.01,31088,300,163,1,1,1.0
1,1000,301,0,0.01,31088,300,164,1,1,1.0
1,1000,301,0,0.01,31088,300,165,0,1,0.0
1,1000,301,0,0.01,31088,300,166,1,1,1.0
1,1000,301,0,0.01,31088,300,167,1,1,1.0
1,1000,301,0,0.01,31088,300,168,1,1,1.0
1,1000,301,0,0.01,31088,300,169,1,1,1.0
1,1000,301,0,0.01,31088,300,170,1,1,1.0
1,1000,301,0,0.01,31088,300,171,1,1,1.0
1,1000,301,0,0.01,31088,300,172,1,1,1.0
1,1000,301,0,0.01,31088,300,173,1,1,1.0
1,1000,301,0,0.01,31088,300,174,1,1,1.0
1,1000,301,0,0.01,31088,300,175,1,1,1.0
1,1000,301,0,0.01,31088,300,176,1,1,1.0
1,1000,301,0,0.01,31088,300,177,1,1,1.0
1,1000,301,0,0.01,31088,300,178,0,1,0.0
1,1000,301,0,0.01,31088,300,179,1,1,1.0
1,1000,301,0,0.01,31088,300,180,1,1,1.0
1,1000,301,0,0.01,31088,300,181,1,1,1.0
1,1000,301,0,0.01,31088,300,182,1,1,1.0
1,1000,301,0,0.01,31088,300,183,1,1,1.0
1,1000,301,0,0.01,31088,300,184,1,1,1.0
1,1000,301,0,0.01,31088,300,185,1,1,1.0
1,1000,301,0,0.01,31088,300,186,1,1,1.0
1,1000,301,0,0.01,31088,300,187,1,1,1.0
1,1000,301,0,0.01,31088,300,188,1,1,1.0
1,1000,301,0,0.01,31088,300,189,1,1,1.0
1,1000,301,0,0.01,31088,300,190,1,1,1.0
1,1000,301,0,0.01,31088,300,191,1,1,1.0
1,1000,301,0,0.01,31088,300,192,1,1,1.0
1,1000,301,0,0.01,31088,300,193,1,1,1.0
1,1000,301,0,0.01,31088,300,194,1,1,1.0
1,1000,301,0,0.01,31088,300,195,1,1,1.0
1,1000,301,0,0.01,31088,300,196,1,1,1.0
1,1000,301,0,0.01,31088,300,197,0,1,0.0
1,1000,301,0,0.01,31088,300,198,1,1,1.0
1,1000,301,0,0.01,31088,300,199,1,1,1.0
1,1000,301,0,0.01,31088,300,200,1,1,1.0
1,1000,301,0,0.01,31088,300,201,1,1,1.0
1,1000,301,0,0.01,31088,300,202,1,1,1.0
1,1000,301,0,0.01,31088,300,203,1,1,1.0
1,1000,301,0,0.01,31088,300,204,0,1,0.0
1,1000,301,0,0.01,31088,300,205,1,1,1.0
1,1000,301,0,0.01,31088,300,206,1,1,1.0
1,1000,301,0,0.01,31088,300,207,1,1,1.0
1,1000,301,0,0.01,31088,300,208,1,1,1.0
1,1000,301,0,0.01,31088,300,209,1,1,1.0
1,1000,301,0,0.01,31088,300,210,1,1,1.0
1,1000,301,0,0.01,31088,300,211,1,1,1.0
1,1000,301,0,0.01,31088,300,212,1,1,1.0
1,1000,301,0,0.01,31088,300,213,1,1,1.0
1,1000,301,0,0.01,31088,300,214,1,1,1.0
1,1000,301,0,0.01,31088,300,215,1,1,1.0
1,1000,301,0,0.01,31088,300,216,1,1,1.0
1,1000,301,0,0.01,31088,300,217,1,1,1.0
1,1000,301,0,0.01,31088,300,218,1,1,1.0
1,1000,301,0,0.01,31088,300,219,0,1,0.0
1,1000,301,0,0.01,31088,300,220,0,1,0.0
1,1000,301,0,0.01,31088,300,221,1,1,1.0
1,1000,301,0,0.01,31088,300,222,1,1,1.0
1,1000,301,0,0.01,31088,300,223,1,1,1.0
1,1000,301,0,0.01,31088,300,224,1,1,1.0
1,1000,301,0,0.01,31088,300,225,1,1,1.0
1,1000,301,0,0.01,31088,300,226,1,1,1.0
1,1000,301,0,0.01,31088,300,227,1,1,1.0
1,1000,301,0,0.01,31088,300,228,0,1,0.0
1,1000,301,0,0.01,31088,300,229,1,1,1.0
1,1000,301,0,0.01,31088,300,230,0,1,0.0
1,1000,301,0,0.01,31088,300,231,1,1,1.0
1,1000,301,0,0.01,31088,300,232,1,1,1.0
1,1000,301,0,0.01,31088,300,233,1,1,1.0
1,1000,301,0,0.01,31088,300,234,0,1,0.0
1,1000,301,0,0.01,31088,300,235,1,1,1.0
1,1000,301,0,0.01,31088,300,236,1,1,1.0
1,1000,301,0,0.01,31088,300,237,1,1,1.0
1,1000,301,0,0.01,31088,300,238,1,1,1.0
1,1000,301,0,0.01,31088,300,239,1,1,1.0
1,1000,301,0,0.01,31088,300,240,1,1,1.0
1,1000,301,0,0.01,31088,300,241,1,1,1.0
1,1000,301,0,0.01,31088,300,242,1,1,1.0
1,1000,301,0,0.01,31088,300,243,1,1,1.0
1,1000,301,0,0.01,31088,300,244,1,1,1.0
1,1000,301,0,0.01,31088,300,245,1,1,1.0
1,1000,301,0,0.01,31088,300,246,1,1,1.0
1,1000,301,0,0.01,31088,300,247,1,1,1.0
1,1000,301,0,0.01,31088,300,248,0,1,0.0
1,1000,301,0,0.01,31088,300,249,1,1,1.0
1,1000,301,0,0.01,31088,300,250,1,1,1.0
1,1000,301,0,0.01,31088,300,251,1,1,1.0
1,1000,301,0,0.01,31088,300,252,1,1,1.0
1,1000,301,0,0.01,31088,300,253,0,1,0.0
1,1000,301,0,0.01,31088,300,254,0,1,0.0
1,1000,301,0,0.01,31088,300,255,1,1,1.0
1,1000,301,0,0.01,31088,300,256,1,1,1.0
1,1000,301,0,0.01,31088,300,257,1,1,1.0
1,1000,301,0,0.01,31088,300,258,1,1,1.0
1,1000,301,0,0.01,31088,300,259,1,1,1.0
1,1000,301,0,0.01,31088,300,260,0,1,0.0
1,1000,301,0,0.01,31088,300,261,0,1,0.0
1,1000,301,0,0.01,31088,300,262,1,1,1.0
1,1000,301,0,0.01,31088,300,263,1,1,1.0
1,1000,301,0,0.01,31088,300,264,1,1,1.0
1,1000,301,0,0.01,31088,300,265,0,1,0.0
1,1000,301,0,0.01,31088,300,266,1,1,1.0
1,1000,301,0,0.01,31088,300,267,1,1,1.0
1,1000,301,0,0.01,31088,300,268,1,1,1.0
1,1000,301,0,0.01,31088,300,269,1,1,1.0
1,1000,301,0,0.01,31088,300,270,1,1,1.0
1,1000,301,0,0.01,31088,300,271,0,1,0.0
1,1000,301,0,0.01,31088,300,272,1,1,1.0
1,1000,301,0,0.01,31088,300,273,1,1,1.0
1,1000,301,0,0.01,31088,300,274,1,1,1.0
1,1000,301,0,0.01,31088,300,275,1,1,1.0
1,1000,301,0,0.01,31088,300,276,1,1,1.0
1,1000,301,0,0.01,31088,300,277,1,1,1.0
1,1000,301,0,0.01,31088,300,278,1,1,1.0
1,1000,301,0,0.01,31088,300,279,1,1,1.0
1,1000,301,0,0.01,31088,300,280,0,1,0.0
1,1000,301,0,0.01,31088,300,281,1,1,1.0
1,1000,301,0,0.01,31088,300,282,1,1,1.0
1,1000,301,0,0.01,31088,300,283,1,1,1.0
1,1000,301,0,0.01,31088,300,284,1,1,1.0
1,1000,301,0,0.01,31088,300,285,1,1,1.0
1,1000,301,0,0.01,31088,300,286,1,1,1.0
1,1000,301,0,0.01,31088,300,287,1,1,1.0
1,1000,301,0,0.01,31088,300,288,1,1,1.0
1,1000,301,0,0.01,31088,300,289,1,1,1.0
1,1000,301,0,0.01,31088,300,290,1,1,1.0
1,1000,301,0,0.01,31088,300,291,1,1,1.0
1,1000,301,0,0.01,31088,300,292,1,1,1.0
1,1000,301,0,0.01,31088,300,293,1,1,1.0
1,1000,301,0,0.01,31088,300,294,1,1,1.0
1,1000,301,0,0.01,31088,300,295,1,1,1.0
1,1000,301,0,0.01,31088,300,296,1,1,1.0
1,1000,301,0,0.01,31088,300,297,1,1,1.0
1,1000,301,0,0.01,31088,300,298,1,1,1.0
1,1000,301,0,0.01,31088,300,299,1,1,1.0
1,1000,301,0,0.01,31088,300,300,1,1,1.0
1,1000,301,0,0.01,31088,300,301,1,1,1.0
1,1000,301,0,0.01,31088,300,302,1,1,1.0
1,1000,301,0,0.01,31088,300,303,1,1,1.0
1,1000,301,0,0.01,31088,300,304,0,1,0.0
1,1000,301,0,0.01,31088,300,305,1,1,1.0
1,1000,301,0,0.01,31088,300,306,1,1,1.0
1,1000,301,0,0.01,31088,300,307,1,1,1.0
1,1000,301,0,0.01,31088,300,308,1,1,1.0
1,1000,301,0,0.01,31088,300,309,1,1,1.0
1,1000,301,0,0.01,31088,300,310,1,1,1.0
1,1000,301,0,0.01,31088,300,311,1,1,1.0
1,1000,301,0,0.01,31088,300,312,1,1,1.0
1,1000,301,0,0.01,31088,300,313,1,1,1.0
1,1000,301,0,0.01,31088,300,314,1,1,1.0
1,1000,301,0,0.01,31088,300,315,1,1,1.0
1,1000,301,0,0.01,31088,300,316,1,1,1.0
1,1000,301,0,0.01,31088,300,317,1,1,1.0
1,1000,301,0,0.01,31088,300,318,1,1,1.0
1,1000,301,0,0.01,31088,300,319,1,1,1.0
1,1000,301,0,0.01,31088,300,320,1,1,1.0
1,1000,301,0,0.01,31088,300,321,1,1,1.0
1,1000,301,0,0.01,31088,300,322,1,1,1.0
1,1000,301,0,0.01,31088,300,323,1,1,1.0
1,1000,301,0,0.01,31088,300,324,1,1,1.0
1,1000,301,0,0.01,31088,300,325,1,1,1.0
1,1000,301,0,0.01,31088,300,326,1,1,1.0
1,1000,301,0,0.01,31088,300,327,1,1,1.0
1,1000,301,0,0.01,31088,300,328,1,1,1.0
1,1000,301,0,0.01,31088,300,329,1,1,1.0
1,1000,301,0,0.01,31088,300,330,1,1,1.0
1,1000,301,0,0.01,31088,300,331,1,1,1.0
1,1000,301,0,0.01,31088,300,332,1,1,1.0
1,1000,301,0,0.01,31088,300,333,1,1,1.0
1,1000,301,0,0.01,31088,300,334,1,1,1.0
1,1000,301,0,0.01,31088,300,335,0,1,0.0
1,1000,301,0,0.01,31088,300,336,1,1,1.0
1,1000,301,0,0.01,31088,300,337,1,1,1.0
1,1000,301,0,0.01,31088,300,338,1,1,1.0
1,1000,301,0,0.01,31088,300,339,1,1,1.0
1,1000,301,0,0.01,31088,300,340,1,1,1.0
1,1000,301,0,0.01,31088,300,341,1,1,1.0
1,1000,301,0,0.01,31088,300,342,1,1,1.0
1,1000,301,0,0.01,31088,300,343,1,1,1.0
1,1000,301,0,0.01,31088,300,344,1,1,1.0
1,1000,301,0,0.01,31088,300,345,0,1,0.0
1,1000,301,0,0.01,31088,300,346,1,1,1.0
1,1000,301,0,0.01,31088,300,347,1,1,1.0
1,1000,301,0,0.01,31088,300,348,1,1,1.0
1,1000,301,0,0.01,31088,300,349,0,1,0.0
1,1000,301,0,0.01,31088,300,350,1,1,1.0
1,1000,301,0,0.01,31088,300,351,0,1,0.0
1,1000,301,0,0.01,31088,300,352,1,1,1.0
1,1000,301,0,0.01,31088,300,353,0,1,0.0
1,1000,301,0,0.01,31088,300,354,1,1,1.0
1,1000,301,0,0.01,31088,300,355,1,1,1.0
1,1000,301,0,0.01,31088,300,356,1,1,1.0
1,1000,301,0,0.01,31088,300,357,1,1,1.0
1,1000,301,0,0.01,31088,300,358,1,1,1.0
1,1000,301,0,0.01,31088,300,359,1,1,1.0
1,1000,301,0,0.01,31088,300,360,1,1,1.0
1,1000,301,0,0.01,31088,300,361,1,1,1.0
1,1000,301,0,0.01,31088,300,362,1,1,1.0
1,1000,301,0,0.01,31088,300,363,1,1,1.0
1,1000,301,0,0.01,31088,300,364,1,1,1.0
1,1000,301,0,0.01,31088,300,365,1,1,1.0
1,1000,301,0,0.01,31088,300,366,0,1,0.0
1,1000,301,0,0.01,31088,300,367,0,1,0.0
1,1000,301,0,0.01,31088,300,368,1,1,1.0
1,1000,301,0,0.01,31088,300,369,1,1,1.0
1,1000,301,0,0.01,31088,300,370,1,1,1.0
1,1000,301,0,0.01,31088,300,371,1,1,1.0
1,1000,301,0,0.01,31088,300,372,1,1,1.0
1,1000,301,0,0.01,31088,300,373,1,1,1.0
1,1000,301,0,0.01,31088,300,374,1,1,1.0
1,1000,301,0,0.01,31088,300,375,1,1,1.0
1,1000,301,0,0.01,31088,300,376,1,1,1.0
1,1000,301,0,0.01,31088,300,377,1,1,1.0
1,1000,301,0,0.01,31088,300,378,1,1,1.0
1,1000,301,0,0.01,31088,300,379,1,1,1.0
1,1000,301,0,0.01,31088,300,380,1,1,1.0
1,1000,301,0,0.01,31088,300,381,1,1,1.0
1,1000,301,0,0.01,31088,300,382,1,1,1.0
1,1000,301,0,0.01,31088,300,383,0,1,0.0
1,1000,301,0,0.01,31088,300,384,0,1,0.0
1,1000,301,0,0.01,31088,300,385,1,1,1.0
1,1000,301,0,0.01,31088,300,386,1,1,1.0
1,1000,301,0,0.01,31088,300,387,1,1,1.0
1,1000,301,0,0.01,31088,300,388,1,1,1.0
1,1000,301,0,0.01,31088,300,389,1,1,1.0
1,1000,301,0,0.01,31088,300,390,1,1,1.0
1,1000,301,0,0.01,31088,300,391,1,1,1.0
1,1000,301,0,0.01,31088,300,392,1,1,1.0
1,1000,301,0,0.01,31088,300,393,1,1,1.0
1,1000,301,0,0.01,31088,300,394,1,1,1.0
1,1000,301,0,0.01,31088,300,395,1,1,1.0
1,1000,301,0,0.01,31088,300,396,1,1,1.0
1,1000,301,0,0.01,31088,300,397,1,1,1.0
1,1000,301,0,0.01,31088,300,398,1,1,1.0
1,1000,301,0,0.01,31088,300,399,1,1,1.0
1,1000,301,0,0.01,31088,300,400,1,1,1.0
1,1000,301,0,0.01,31088,300,401,1,1,1.0
1,1000,301,0,0.01,31088,300,402,1,1,1.0
1,1000,301,0,0.01,31088,300,403,1,1,1.0
1,1000,301,0,0.01,31088,300,404,1,1,1.0
1,1000,301,0,0.01,31088,300,405,0,1,0.0
1,1000,301,0,0.01,31088,300,406,1,1,1.0
1,1000,301,0,0.01,31088,300,407,1,1,1.0
1,1000,301,0,0.01,31088,300,408,1,1,1.0
1,1000,301,0,0.01,31088,300,409,1,1,1.0
1,1000,301,0,0.01,31088,300,410,1,1,1.0
1,1000,301,0,0.01,31088,300,411,1,1,1.0
1,1000,301,0,0.01,31088,300,412,1,1,1.0
1,1000,301,0,0.01,31088,300,413,1,1,1.0
1,1000,301,0,0.01,31088,300,414,1,1,1.0
1,1000,301,0,0.01,31088,300,415,1,1,1.0
1,1000,301,0,0.01,31088,300,416,1,1,1.0
1,1000,301,0,0.01,31088,300,417,1,1,1.0
1,1000,301,0,0.01,31088,300,418,1,1,1.0
1,1000,301,0,0.01,31088,300,419,1,1,1.0
1,1000,301,0,0.01,31088,300,420,1,1,1.0
1,1000,301,0,0.01,31088,300,421,1,1,1.0
1,1000,301,0,0.01,31088,300,422,1,1,1.0
1,1000,301,0,0.01,31088,300,423,1,1,1.0
1,1000,301,0,0.01,31088,300,424,0,1,0.0
1,1000,301,0,0.01,31088,300,425,1,1,1.0
1,1000,301,0,0.01,31088,300,426,1,1,1.0
1,1000,301,0,0.01,31088,300,427,1,1,1.0
1,1000,301,0,0.01,31088,300,428,0,1,0.0
1,1000,301,0,0.01,31088,300,429,1,1,1.0
1,1000,301,0,0.01,31088,300,430,1,1,1.0
1,1000,301,0,0.01,31088,300,431,1,1,1.0
1,1000,301,0,0.01,31088,300,432,1,1,1.0
1,1000,301,0,0.01,31088,300,433,1,1,1.0
1,1000,301,0,0.01,31088,300,434,1,1,1.0
1,1000,301,0,0.01,31088,300,435,1,1,1.0
1,1000,301,0,0.01,31088,300,436,1,1,1.0
1,1000,301,0,0.01,31088,300,437,1,1,1.0
1,1000,301,0,0.01,31088,300,438,0,1,0.0
1,1000,301,0,0.01,31088,300,439,0,1,0.0
1,1000,301,0,0.01,31088,300,440,1,1,1.0
1,1000,301,0,0.01,31088,300,441,1,1,1.0
1,1000,301,0,0.01,31088,300,442,1,1,1.0
1,1000,301,0,0.01,31088,300,443,1,1,1.0
1,1000,301,0,0.01,31088,300,444,0,1,0.0
1,1000,301,0,0.01,31088,300,445,1,1,1.0
1,1000,301,0,0.01,31088,300,446,1,1,1.0
1,1000,301,0,0.01,31088,300,447,1,1,1.0
1,1000,301,0,0.01,31088,300,448,1,1,1.0
1,1000,301,0,0.01,31088,300,449,1,1,1.0
1,1000,301,0,0.01,31088,300,450,0,1,0.0
1,1000,301,0,0.01,31088,300,451,0,1,0.0
1,1000,301,0,0.01,31088,300,452,1,1,1.0
1,1000,301,0,0.01,31088,300,453,1,1,1.0
1,1000,301,0,0.01,31088,300,454,0,1,0.0
1,1000,301,0,0.01,31088,300,455,1,1,1.0
1,1000,301,0,0.01,31088,300,456,1,1,1.0
1,1000,301,0,0.01,31088,300,457,1,1,1.0
1,1000,301,0,0.01,31088,300,458,1,1,1.0
1,1000,301,0,0.01,31088,300,459,1,1,1.0
1,1000,301,0,0.01,31088,300,460,1,1,1.0
1,1000,301,0,0.01,31088,300,461,1,1,1.0
1,1000,301,0,0.01,31088,300,462,1,1,1.0
1,1000,301,0,0.01,31088,300,463,1,1,1.0
1,1000,301,0,0.01,31088,300,464,1,1,1.0
1,1000,301,0,0.01,31088,300,465,1,1,1.0
1,1000,301,0,0.01,31088,300,466,1,1,1.0
1,1000,301,0,0.01,31088,300,467,1,1,1.0
1,1000,301,0,0.01,31088,300,468,1,1,1.0
1,1000,301,0,0.01,31088,300,469,1,1,1.0
1,1000,301,0,0.01,31088,300,470,1,1,1.0
1,1000,301,0,0.01,31088,300,471,1,1,1.0
1,1000,301,0,0.01,31088,300,472,1,1,1.0
1,1000,301,0,0.01,31088,300,473,0,1,0.0
1,1000,301,0,0.01,31088,300,474,1,1,1.0
1,1000,301,0,0.01,31088,300,475,0,1,0.0
1,1000,301,0,0.01,31088,300,476,1,1,1.0
1,1000,301,0,0.01,31088,300,477,1,1,1.0
1,1000,301,0,0.01,31088,300,478,1,1,1.0
1,1000,301,0,0.01,31088,300,479,1,1,1.0
1,1000,301,0,0.01,31088,300,480,1,1,1.0
1,1000,301,0,0.01,31088,300,481,1,1,1.0
1,1000,301,0,0.01,31088,300,482,1,1,1.0
1,1000,301,0,0.01,31088,300,483,1,1,1.0
1,1000,301,0,0.01,31088,300,484,1,1,1.0
1,1000,301,0,0.01,31088,300,485,1,1,1.0
1,1000,301,0,0.01,31088,300,486,1,1,1.0
1,1000,301,0,0.01,31088,300,487,1,1,1.0
1,1000,301,0,0.01,31088,300,488,1,1,1.0
